"path","section","title","score","grade","action","reason"
"/blog/bedroom-feng-shui-rest","Blog","Bedroom Feng Shui for Better Rest","63","C","expand","word count 640/800; high template risk"
"/blog/earthly-branches-hidden-stems","Blog","Earthly Branches and Hidden Stems Explained","63","C","expand","word count 638/800; high template risk"
"/blog/eight-trigrams-meaning","Blog","Eight Trigrams: The Building Blocks of the I Ching","63","C","expand","word count 644/800; high template risk"
"/blog/feng-shui-home-basics","Blog","Feng Shui Home Basics: Flow, Support, and Function","63","C","expand","word count 642/800; high template risk"
"/blog/fire-element-visibility","Blog","Fire Element in Work and Relationships","63","C","expand","word count 638/800; high template risk"
"/blog/front-door-feng-shui","Blog","Front Door Feng Shui: The Mouth of Qi Explained","63","C","expand","word count 644/800; high template risk"
"/blog/heavenly-stems-beginner-guide","Blog","Heavenly Stems: The 10 Visible Energies in Bazi","63","C","expand","word count 643/800; high template risk"
"/blog/hexagram-1-creative-modern-reading","Blog","Hexagram 1, The Creative: A Modern Reading","63","C","expand","word count 639/800; high template risk"
"/blog/hexagram-2-receptive-modern-reading","Blog","Hexagram 2, The Receptive: A Modern Reading","63","C","expand","word count 639/800; high template risk"
"/blog/how-to-cast-i-ching-coins","Blog","How to Cast the I Ching with Three Coins","63","C","expand","word count 643/800; high template risk"
"/blog/luck-pillars-life-cycles","Blog","Luck Pillars in Bazi: How 10-Year Cycles Work","63","C","expand","word count 640/800; high template risk"
"/blog/office-desk-feng-shui","Blog","Office Desk Feng Shui: Command Position and Focus","63","C","expand","word count 642/800; high template risk"
"/blog/rat-and-horse-clash","Blog","Rat and Horse Clash: What It Means in the Zodiac","63","C","expand","word count 642/800; high template risk"
"/blog/ten-gods-bazi-relationships","Blog","Ten Gods in Bazi: Relationship Roles Made Simple","63","C","expand","word count 641/800; high template risk"
"/blog/wood-element-career-style","Blog","Wood Element Career Style: Growth, Planning, and Direction","63","C","expand","word count 640/800; high template risk"
"/blog/year-of-the-horse-2026-guide","Blog","Year of the Horse 2026: What the Symbol Suggests","63","C","expand","word count 640/800; high template risk"
"/blog/ziwei-12-palaces","Blog","The 12 Ziwei Palaces: What Each Life Area Means","63","C","expand","word count 641/800; high template risk"
"/blog/ziwei-doushu-beginners","Blog","Ziwei Doushu for Beginners: Stars, Palaces, and Timing","63","C","expand","word count 640/800; high template risk"
"/blog/ziwei-life-palace-meaning","Blog","Life Palace in Ziwei: Why It Anchors the Chart","63","C","expand","word count 643/800; high template risk"
"/blog/ziwei-major-stars-overview","Blog","14 Major Ziwei Stars: A Beginner Overview","63","C","expand","word count 642/800; high template risk"
"/feng-shui/home/bedroom","Feng Shui","Bedroom Feng Shui: Layout, Bed Position, and Rest","63","C","expand","word count 392/1200; high template risk"
"/feng-shui/home/front-door","Feng Shui","Front Door Feng Shui: The Mouth of Qi","63","C","expand","word count 392/1200; high template risk"
"/ziwei/major-stars","Ziwei","14 Major Stars in Ziwei Doushu: Overview","63","C","expand","word count 369/1200; high template risk"
"/ziwei/twelve-palaces","Ziwei","The 12 Ziwei Palaces: Complete Beginner Guide","63","C","expand","word count 370/1200; high template risk"
"/ziwei/ziwei-vs-bazi","Ziwei","Ziwei vs Bazi: Key Differences for Beginners","63","C","expand","word count 369/1200; high template risk"
"/bazi/career","Bazi","Bazi Career Analysis: Choosing Work by Element Pattern","65","C","expand","word count 308/650; high template risk"
