"path","section","type","priority","indexable","title","wordCount","minimumWords","targetWords","directAnswerWords","sections","faqs","citations","genericCitations","stats","quotes","internalLinks","templateRisk","placeholderRisk","score","grade","action"
"/bazi","Bazi","hub","yes","yes","Bazi (Four Pillars of Destiny): Complete Guide","1285","1500","2500-3500","47","6","5","3","0","9","0","19","low","no","88","A","expand"
"/bazi/earthly-branches","Bazi","knowledge","no","yes","12 Earthly Branches (Di Zhi): Meanings, Hidden Stems & Clashes","1525","650","1200-2500","53","6","8","4","0","7","0","6","low","no","92","A","monitor"
"/bazi/five-elements","Bazi","knowledge","yes","yes","The Five Elements (Wu Xing): A Complete Guide","1103","1200","1200-2500","46","4","6","2","0","6","0","4","low","no","86","A","expand"
"/bazi/heavenly-stems","Bazi","knowledge","no","yes","The 10 Heavenly Stems (Tian Gan): Complete Guide","1028","650","1200-2500","42","4","6","2","0","6","0","2","low","no","84","B","monitor"
"/bazi/luck-pillars","Bazi","knowledge","yes","yes","Luck Pillars (Da Yun): How 10-Year Bazi Cycles Work","768","1200","1200-2500","57","5","6","2","0","5","0","6","low","no","79","B","expand"
"/bazi/ten-gods","Bazi","knowledge","yes","yes","Ten Gods in Bazi: Complete Shi Shen Table & Meanings","841","1200","1200-2500","52","5","6","2","0","5","0","7","low","no","81","B","expand"
"/bazi/what-is-bazi","Bazi","knowledge","yes","yes","What Is Bazi? Four Pillars of Destiny Explained","899","1200","1200-2500","45","5","5","3","0","8","0","7","low","no","86","A","expand"
"/blog/bazi-career-path","Blog","blog","no","no","How I Used My Bazi Chart to Find My Dream Career","571","800","1800-2800","43","4","3","2","0","3","0","1","low","no","70","B","expand"
"/blog/bazi-vs-western-astrology","Blog","blog","no","no","Bazi vs Western Astrology: Which System Is More Accurate?","617","800","1800-2800","45","5","3","2","0","3","0","1","low","no","71","B","expand"
"/blog/bedroom-feng-shui-rest","Blog","blog","no","no","Bedroom Feng Shui for Better Rest","640","800","1800-2800","50","5","3","2","2","4","0","3","high","no","60","C","expand"
