"file","category","path","slug","title","note"
"pages.tsx","bazi","/bazi","","Bazi (Four Pillars of Destiny): Complete Guide","object-extracted"
"pages.tsx","bazi","/bazi/what-is-bazi","what-is-bazi","What Is Bazi? Four Pillars of Destiny Explained","object-extracted"
"pages.tsx","bazi","/bazi/five-elements","five-elements","The Five Elements (Wu Xing): A Complete Guide","object-extracted"
"pages.tsx","bazi","/bazi/heavenly-stems","heavenly-stems","The 10 Heavenly Stems (Tian Gan): Complete Guide","object-extracted"
"pages.tsx","bazi","/bazi/earthly-branches","earthly-branches","The 12 Earthly Branches (Di Zhi): Complete Guide","object-extracted"
"pages.tsx","bazi","/bazi/ten-gods","ten-gods","The Ten Gods (Shi Shen): Bazi Relationship Stars","object-extracted"
"pages.tsx","bazi","/bazi/luck-pillars","luck-pillars","Luck Pillars (Da Yun): 10-Year Bazi Cycles","object-extracted"
"posts.tsx","blog","/blog/what-is-bazi","what-is-bazi","What Is Bazi? A Beginner's Guide to the Four Pillars","object-extracted"
"posts.tsx","blog","/blog/chinese-zodiac-2026-forecast","chinese-zodiac-2026-forecast","Chinese Zodiac 2026 Forecast: What to Expect for All 12 Animals","object-extracted"
"posts.tsx","blog","/blog/bazi-vs-western-astrology","bazi-vs-western-astrology","Bazi vs Western Astrology: Which System Is More Accurate?","object-extracted"
"posts.tsx","blog","/blog/bazi-career-path","bazi-career-path","How I Used My Bazi Chart to Find My Dream Career","object-extracted"
"posts.tsx","blog","/blog/five-elements-personality-test","five-elements-personality-test","The Five Elements Personality Test: Which Element Are You?","object-extracted"
"posts.tsx","blog","","","","dynamic-or-skipped"
"posts.tsx","blog","/blog/how-to-read-a-bazi-chart","how-to-read-a-bazi-chart","How to Read a Bazi Chart Without Getting Overwhelmed","object-extracted"
"posts.tsx","blog","/blog/day-master-meaning","day-master-meaning","What Your Day Master Means in Bazi","object-extracted"
"posts.tsx","blog","/blog/i-ching-for-beginners","i-ching-for-beginners","I Ching for Beginners: How to Ask a Clear Question","object-extracted"
"posts.tsx","blog","/blog/changing-lines-i-ching","changing-lines-i-ching","Changing Lines in the I Ching: What They Mean","object-extracted"
"posts.tsx","blog","/blog/chinese-zodiac-compatibility-guide","chinese-zodiac-compatibility-guide","Chinese Zodiac Compatibility: Harmony, Triads, and Clashes","object-extracted"
"posts.tsx","blog","/blog/day-master-bazi-complete-guide","day-master-bazi-complete-guide","Day Master in Bazi: A Complete Guide to the 10 Heavenly Stems","object-extracted"
"posts.tsx","blog","/blog/chinese-zodiac-compatibility-chart","chinese-zodiac-compatibility-chart","Chinese Zodiac Compatibility Chart: All 12 Signs Compared","object-extracted"
"posts.tsx","blog","/blog/i-ching-beginners-reading-guide","i-ching-beginners-reading-guide","How to Cast and Read an I Ching Hexagram: A Beginner's Reading Guide","object-extracted"
"pages.tsx","feng-shui","/feng-shui","","Feng Shui: Complete Beginner Guide","object-extracted"
"pages.tsx","i-ching","/i-ching","","I Ching (Book of Changes): Complete Guide","object-extracted"
"pages.tsx","i-ching","","","","dynamic-or-skipped"
"pages.tsx","learn","/learn","","Learn Chinese Metaphysics: Beginner Roadmap","object-extracted"
"pages.tsx","learn","/learn/beginners-guide","beginners-guide","Chinese Metaphysics Beginner's Guide","object-extracted"
"pages.tsx","learn","/learn/chinese-vs-western-astrology","chinese-vs-western-astrology","Chinese vs Western Astrology: Key Differences","object-extracted"
"pages.tsx","learn","/learn/common-misconceptions","common-misconceptions","Common Misconceptions About Chinese Metaphysics","object-extracted"
"pages.tsx","learn","/learn/which-system","which-system","Which Chinese Metaphysics System Should You Learn?","object-extracted"
"pages.tsx","learn","/learn/resources","resources","Chinese Metaphysics Learning Resources","object-extracted"
"pages.tsx","ziwei","/ziwei","","Ziwei Doushu: Purple Star Astrology Guide","object-extracted"
"pages.tsx","zodiac","/chinese-zodiac","","Chinese Zodiac: 12 Animal Signs, Meanings, and 2026 Guide","object-extracted"
"pages.tsx","zodiac","/chinese-zodiac/${animal.slug}","","","dynamic-or-skipped"
"pages.tsx","zodiac","/chinese-zodiac/compatibility","compatibility","Chinese Zodiac Compatibility: Best Matches and Clash Pairs","object-extracted"
"pages.tsx","zodiac","/chinese-zodiac/2026-forecast","2026-forecast","2026 Chinese Zodiac Forecast: Year of the Fire Horse","object-extracted"
